artist,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Dance/Electronic,Folk/Acoustic,R&B,World/Traditional,blues,classical,country,easy listening,hip hop,jazz,latin,metal,pop,rock
Limp Bizkit,269973,False,2003,70,0.595,0.489,7,-6.66,1,0.0271,0.497,0.0,0.119,0.0902,120.315,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sugababes,237693,False,2003,58,0.586,0.705,1,-4.904,0,0.0287,0.0485,0.0,0.15,0.459,98.014,0,0,1,0,0,0,0,0,0,0,0,0,1,0
50 Cent,219400,True,2003,57,0.802,0.863,1,-3.552,1,0.2,0.0199,0.0,0.141,0.873,81.008,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Pharrell Williams,236506,True,2003,67,0.894,0.404,9,-5.913,0,0.13,0.453,1.57e-06,0.0801,0.759,102.009,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Chingy,250746,True,2003,69,0.866,0.749,2,-3.977,1,0.253,0.15,0.0,0.0614,0.891,92.074,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Eminem,339546,True,2002,71,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lil' Kim,234800,True,2003,48,0.853,0.752,1,-8.831,1,0.339,0.178,4.65e-06,0.0553,0.935,104.946,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Mýa,209533,False,2003,48,0.831,0.695,4,-6.491,1,0.109,0.194,1.24e-05,0.309,0.722,132.817,0,0,1,0,0,0,0,0,0,0,0,0,1,0
50 Cent,224440,True,2003,72,0.646,0.813,6,-3.846,0,0.299,0.349,9.37e-05,0.0427,0.895,92.729,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nelly,304000,True,2002,61,0.784,0.459,4,-9.74,0,0.317,0.0847,0.0,0.079,0.618,164.062,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Missy Elliott,234893,True,2002,57,0.707,0.538,0,-5.264,1,0.505,0.362,0.0,0.317,0.439,121.732,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Girls Aloud,220360,False,2003,60,0.658,0.826,8,-6.031,1,0.0346,0.00189,0.00275,0.0492,0.795,134.465,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ultrabeat,201920,False,2003,59,0.553,0.775,1,-10.284,0,0.043,0.212,0.0,0.0728,0.51,139.993,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Christina Aguilera,245960,False,2002,67,0.435,0.92,4,-1.357,0,0.201,0.235,0.000353,0.552,0.45,188.899,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Frankie J,245293,False,2003,49,0.655,0.433,5,-7.577,0,0.0348,0.444,0.0,0.221,0.199,130.127,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Snoop Dogg,299146,True,2005,67,0.893,0.74,11,-4.936,0,0.132,0.299,0.0,0.0881,0.963,101.025,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Floetry,268373,False,2002,57,0.747,0.398,5,-12.932,0,0.0743,0.211,1.42e-06,0.113,0.428,117.901,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Ginuwine,243306,True,2003,59,0.691,0.541,1,-5.873,1,0.0776,0.508,0.0,0.0753,0.319,127.683,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Electric Six,214600,False,2003,0,0.66,0.698,11,-4.722,0,0.0302,1.92e-05,0.166,0.0517,0.511,123.005,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rachel Stevens,208386,False,2003,38,0.85,0.862,2,-3.587,1,0.138,0.0733,0.00144,0.0936,0.908,130.036,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ludacris,213760,True,2003,57,0.751,0.84,6,-4.855,1,0.349,0.367,0.0,0.0916,0.801,99.057,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nas,253720,False,2002,58,0.837,0.885,6,-3.914,0,0.182,0.103,0.0,0.0666,0.694,95.313,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 Doors Down,260333,False,2002,67,0.53,0.768,7,-5.611,1,0.0284,0.00385,0.0,0.103,0.374,148.095,0,0,0,0,0,0,0,0,0,0,0,1,1,1
